TEMP_MAX,TIZON_PROMEDIO,TEMP_MIN,PRECIPITACION,NEVADA,EROSION_PROMEDIO,SIEMBRA,COSECHA,PRECIO_CHACRA,CLIMA_CODE,Late blight (LB),Dry matter (%),Growing period highland,Predominant tuber flesh color_Cream,Predominant tuber flesh color_Pale Yellow,Tuber shape depth of eyes_Shallow eyes,Tuber shape depth of eyes_Slightly deep eye
0.4538457554198529,91.93103448275863,0.5548482762044611,0.4617903408576758,0.0,0.0838690568436141,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.4538457554198529,91.93103448275863,0.5548482762044611,0.4617903408576758,0.0,0.0838690568436141,0.0035460992907801,0.0105263157894736,0.6857142857142856,1,2,0.21,1,0,1,1,0
0.4538457554198529,91.93103448275863,0.5548482762044611,0.4617903408576758,0.0,0.0838690568436141,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.4538457554198529,91.93103448275863,0.5548482762044611,0.4617903408576758,0.0,0.0838690568436141,0.0,0.0035087719298245,0.1999999999999999,1,2,0.21,1,0,1,1,0
0.4538457554198529,91.93103448275863,0.5548482762044611,0.4617903408576758,0.0,0.0838690568436141,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.5219152964731086,87.96843306288034,0.6103955383577361,0.4913253512120726,0.0,0.1656064758595873,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.5219152964731086,87.96843306288034,0.6103955383577361,0.4913253512120726,0.0,0.1656064758595873,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.489388225296157,89.12372122762147,0.5843539538419305,0.427957882621393,0.0,0.1608434486019666,0.0,0.0070175438596491,0.3714285714285714,1,2,0.21,1,0,1,1,0
0.3061595244802395,90.26134910485932,0.4594959937152294,0.6373498634017137,0.0,0.2139634607608291,0.0,0.0,0.0,3,2,0.21,1,0,1,1,0
0.4160877582748115,85.19001164822365,0.5267089190714423,0.5606714641370029,0.0,0.272602383648652,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.4160877582748115,85.19001164822365,0.5267089190714423,0.5606714641370029,0.0,0.272602383648652,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.4160877582748115,85.19001164822365,0.5267089190714423,0.5606714641370029,0.0,0.272602383648652,0.0,0.0105263157894736,0.3714285714285714,1,2,0.21,1,0,1,1,0
0.2970404428708146,88.24750948766604,0.4527400728607265,0.4953678129944885,0.0,0.4291578504443521,0.0070921985815602,0.0105263157894736,0.6,1,2,0.21,1,0,1,1,0
0.4616698033719904,90.0594362745098,0.5555586099227573,0.4341773987676717,0.0,0.4209018452608029,0.0,0.0070175438596491,0.0857142857142857,1,2,0.21,1,0,1,1,0
0.4228288829728881,88.5150505514706,0.5310657655269043,0.5247677830936027,0.0,0.3319546957929079,0.0,0.0070175438596491,0.1085714285714285,1,2,0.21,1,0,1,1,0
0.4228288829728881,88.5150505514706,0.5310657655269043,0.5247677830936027,0.0,0.3319546957929079,0.0,0.0070175438596491,0.3714285714285714,1,2,0.21,1,0,1,1,0
0.4660322683420812,69.0419013350021,0.5700161141076477,0.5719770377556018,0.0,0.1190998746166529,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.4660322683420812,69.0419013350021,0.5700161141076477,0.5719770377556018,0.0,0.1190998746166529,0.0,0.0035087719298245,0.2857142857142857,1,2,0.21,1,0,1,1,0
0.3574600041199931,84.36773255813954,0.4971920626472111,0.7048116630178789,0.0,0.1615335788090993,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.3574600041199931,84.36773255813954,0.4971920626472111,0.7048116630178789,0.0,0.1615335788090993,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.3574600041199931,84.36773255813954,0.4971920626472111,0.7048116630178789,0.0,0.1615335788090993,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.3574600041199931,84.36773255813954,0.4971920626472111,0.7048116630178789,0.0,0.1615335788090993,0.0,0.0035087719298245,0.3714285714285714,1,2,0.21,1,0,1,1,0
0.3916452223699236,92.63937664618086,0.5158722670912319,0.6009051957329755,0.0,0.1699161736831764,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.3916452223699236,92.63937664618086,0.5158722670912319,0.6009051957329755,0.0,0.1699161736831764,0.0,0.0035087719298245,0.3714285714285714,1,2,0.21,1,0,1,1,0
0.3916452223699236,92.63937664618086,0.5158722670912319,0.6009051957329755,0.0,0.1699161736831764,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.4152646370201702,91.6019768563163,0.5314937979642217,0.5069720935143494,0.0,0.1587363821064547,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.4152646370201702,91.6019768563163,0.5314937979642217,0.5069720935143494,0.0,0.1587363821064547,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.4152646370201702,91.6019768563163,0.5314937979642217,0.5069720935143494,0.0,0.1587363821064547,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.5788256184283618,85.38815789473685,0.6169233517817084,0.4595939123199737,0.0,0.4019546248221179,0.0,0.0,0.0,1,2,0.21,1,0,1,1,0
0.7043371927368469,17.73855750165235,0.7734186114034189,0.3399949567620359,0.0,0.3248470587087403,0.0212765957446808,0.0,0.0,6,2,0.21,1,0,1,1,0
0.4801563607727834,73.09178743961351,0.5942981758398057,0.1278513864313649,0.0,0.1243785271023066,0.0035460992907801,0.0035087719298245,0.6285714285714286,1,2,0.21,1,0,1,1,0
